Sample,Site,Adapter,apo.sym,sex
P2,Texas_Packery,7-Astrangia_Pool_1_S7_L008_R1_001_TGGT.trim,,
TP1,Texas_Packery,9_Astrangia_Pool_2_S1_L007_R1_001_AGAC.trim,,
A3T2,Texas_PortA,12_Astrangia_Pool_2_S4_L007_R1_001_TCAC.trim,,
A15T2,Texas_PortA,12_Astrangia_Pool_2_S4_L007_R1_001_TCAG.trim,,
A11T2,Texas_PortA,13_Astrangia_Pool_2_S5_L007_R1_001_AGAC.trim,,
A6T2*,Texas_PortA,15_Astrangia_Pool_2_S7_L007_R1_001_TCAC.trim,,
A5T2,Texas_PortA,1-Astrangia_Pool_1_S1_L008_R1_001_GTGA.trim,,
A6T2*,Texas_PortA,1-Astrangia_Pool_1_S1_L008_R1_001_TCAC.trim,,
A8T2,Texas_PortA,2-Astrangia_Pool_1_S2_L008_R1_001_AGAC.trim,,
A14T2*,Texas_PortA,2-Astrangia_Pool_1_S2_L008_R1_001_CATC.trim,,
A1T2,Texas_PortA,2-Astrangia_Pool_1_S2_L008_R1_001_GTGA.trim,,
A3T2,Texas_PortA,2-Astrangia_Pool_1_S2_L008_R1_001_TCAC.trim,,
A2T2,Texas_PortA,4-Astrangia_Pool_1_S4_L008_R1_001_ACCA.trim,,
A9T2,Texas_PortA,4-Astrangia_Pool_1_S4_L008_R1_001_TCAG.trim,,
A10T2,Texas_PortA,5-Astrangia_Pool_1_S5_L008_R1_001_AGAC.trim,,
A12T2,Texas_PortA,5-Astrangia_Pool_1_S5_L008_R1_001_CTAC.trim,,
A2T2,Texas_PortA,9_Astrangia_Pool_2_S1_L007_R1_001_ACCA.trim,,
TWCC3,VA,10_Astrangia_Pool_2_S2_L007_R1_001_GACT.trim,apo,
TBM1,VA,10_Astrangia_Pool_2_S2_L007_R1_001_TCAC.trim,sym,
TBF2,VA,12_Astrangia_Pool_2_S4_L007_R1_001_GACT.trim,sym,
TWW3**,VA,13_Astrangia_Pool_2_S5_L007_R1_001_ACCA.trim,apo,
TBFF2*,VA,13_Astrangia_Pool_2_S5_L007_R1_001_TGGT.trim,sym,
TWW3**,VA,15_Astrangia_Pool_2_S7_L007_R1_001_ACCA.trim,apo,
TWU2,VA,3-Astrangia_Pool_1_S3_L008_R1_001_TCAC.trim,apo,
TWK5,VA,4-Astrangia_Pool_1_S4_L008_R1_001_AGTG.trim,apo,
TWD1,VA,4-Astrangia_Pool_1_S4_L008_R1_001_TCAC.trim,apo,
TWA5,VA,9_Astrangia_Pool_2_S1_L007_R1_001_GTGA.trim,apo,
TWU2,VA,9_Astrangia_Pool_2_S1_L007_R1_001_TCAC.trim,apo,
AA2(WG2) (Only use best AA),WH,11_Astrangia_Pool_2_S3_L007_R1_001_ACCA.trim,Mix,
AJ3(WQ1),WH,11_Astrangia_Pool_2_S3_L007_R1_001_TCAG.trim,Mix,
AG4(WNWA6),WH,12_Astrangia_Pool_2_S4_L007_R1_001_AGAC.trim,apo,
AC6(WD20),WH,12_Astrangia_Pool_2_S4_L007_R1_001_TGGT.trim,apo,
AI3,WH,13_Astrangia_Pool_2_S5_L007_R1_001_TCAC.trim,Mix,
AB5,WH,13_Astrangia_Pool_2_S5_L007_R1_001_TCAG.trim,Mix,
AA4(WR2),WH,14_Astrangia_Pool_2_S6_L007_R1_001_TGTC.trim,apo,
AN1(WB9),WH,16_Astrangia_Pool_2_S8_L007_R1_001_CATC.trim,Mix,
AC6,WH,3_7_Wuitchik_Lane3_S22_L007_R1_001_TGGT.trim.bt2.bam,,
AS2,WH,3-Astrangia_Pool_1_S3_L008_R1_001_TCAG.trim,Mix,
AN1(WB9),WH,4-Astrangia_Pool_1_S4_L008_R1_001_CATC.trim,Mix,
AC3*,WH,6-Astrangia_Pool_1_S6_L008_R1_001_CATC.trim,apo,
AA4(WR2),WH,6-Astrangia_Pool_1_S6_L008_R1_001_TGTC.trim,apo,
AP3(WVG19),WH,7-Astrangia_Pool_1_S7_L008_R1_001_ACCA.trim,apo,
AF4(WN3),WH,7-Astrangia_Pool_1_S7_L008_R1_001_AGAC.trim,Mix,
AM1(WO5),WH,7-Astrangia_Pool_1_S7_L008_R1_001_AGTG.trim,Sym,
AH3,WH,9_Astrangia_Pool_2_S1_L007_R1_001_TCAG.trim,Mix,
AA4(WR2),WH,9_Astrangia_Pool_2_S1_L007_R1_001_TGTC.trim,apo,
